Passage,Phage_measured,Phage_treatment,Temperature_treatment,Temperature,Rep,PFU,Dilution,PFU_ML,,
1,LUZ19,Competition,42C_static,42,3,18,-7,18000000000,,
1,LUZ19,Competition,42C_static,42,4,25,-7,25000000000,,
1,LUZ19,Competition,42C_static,42,5,17,-7,17000000000,,
1,LUZ19,Competition,42C_static,42,6,9,-7,9000000000,,
1,LUZ19,Competition,Fluctuating,37,1,23,-6,2300000000,,
1,LUZ19,Competition,Fluctuating,37,2,25,-6,2500000000,,
1,LUZ19,Competition,Fluctuating,37,3,22,-6,2200000000,,
1,LUZ19,Competition,Fluctuating,37,4,23,-6,2300000000,,
1,LUZ19,Competition,Fluctuating,37,5,21,-6,2100000000,,
1,LUZ19,Competition,Fluctuating,37,6,20,-6,2000000000,,
1,phage14_1,Single_phage,37C_static,37,1,35,-6,3500000000,,
1,phage14_1,Single_phage,37C_static,37,2,42,-6,4200000000,,
1,phage14_1,Single_phage,37C_static,37,3,49,-6,4900000000,,
1,phage14_1,Single_phage,37C_static,37,4,46,-6,4600000000,,
1,phage14_1,Single_phage,37C_static,37,5,57,-6,5700000000,,
1,phage14_1,Single_phage,37C_static,37,6,54,-6,5400000000,,
1,phage14_1,Single_phage,42C_static,42,1,92,-5,920000000,,
1,phage14_1,Single_phage,42C_static,42,2,95,-5,950000000,,
1,phage14_1,Single_phage,42C_static,42,3,109,-5,1090000000,,
1,phage14_1,Single_phage,42C_static,42,4,61,-5,610000000,,
1,phage14_1,Single_phage,42C_static,42,5,81,-5,810000000,,
1,phage14_1,Single_phage,42C_static,42,6,143,-5,1430000000,,
1,phage14_1,Single_phage,Fluctuating,37,1,49,-6,4900000000,,
1,phage14_1,Single_phage,Fluctuating,37,2,69,-6,6900000000,,
1,phage14_1,Single_phage,Fluctuating,37,3,58,-6,5800000000,,
1,phage14_1,Single_phage,Fluctuating,37,4,66,-6,6600000000,,
1,phage14_1,Single_phage,Fluctuating,37,5,57,-6,5700000000,,
1,phage14_1,Single_phage,Fluctuating,37,6,40,-6,4000000000,,
1,phage14_1,Competition,37C_static,37,1,21,-6,2100000000,,
1,phage14_1,Competition,37C_static,37,2,28,-6,2800000000,,
1,phage14_1,Competition,37C_static,37,3,23,-6,2300000000,,
1,phage14_1,Competition,37C_static,37,4,17,-6,1700000000,,
1,phage14_1,Competition,37C_static,37,5,22,-6,2200000000,,
1,phage14_1,Competition,37C_static,37,6,24,-6,2400000000,,
1,phage14_1,Competition,42C_static,42,1,118,-4,118000000,,
1,phage14_1,Competition,42C_static,42,2,88,-4,88000000,,
1,phage14_1,Competition,42C_static,42,3,92,-4,92000000,,
1,phage14_1,Competition,42C_static,42,4,126,-4,126000000,,
1,phage14_1,Competition,42C_static,42,5,112,-4,112000000,,
1,phage14_1,Competition,42C_static,42,6,130,-4,130000000,,
1,phage14_1,Competition,Fluctuating,37,1,123,-5,1230000000,,
1,phage14_1,Competition,Fluctuating,37,2,110,-5,1100000000,,
1,phage14_1,Competition,Fluctuating,37,3,105,-5,1050000000,,
1,phage14_1,Competition,Fluctuating,37,4,117,-5,1170000000,,
1,phage14_1,Competition,Fluctuating,37,5,97,-5,970000000,,
1,phage14_1,Competition,Fluctuating,37,6,95,-5,950000000,,
1.1,LUZ19,Single_phage,37C_static,37,1,15,,1500000000,,
1.1,LUZ19,Single_phage,37C_static,37,2,21,,2100000000,,
